co_municipio;quantidade_alunos;probabilidade_risco_media;probabilidade_risco_mediana;probabilidade_risco_p90;taxa_alertas;taxa_nao_alfabetizado_real;falsos_negativos;taxa_falsos_negativos;co_uf;dependencia_predominante;atlas_idhm_median;atlas_idhm_e_median;atlas_renda_pc_median;atlas_indice_gini_median;atlas_prop_pobreza_criancas_median;atlas_taxa_criancas_dom_sem_fund_median;censo_prop_mat_2ano_internet_aprendizagem_median;censo_prop_mat_2ano_alimentacao_median;censo_prop_mat_2ano_biblioteca_sala_leitura_median;fundeb_receita_contribuicao_median;fundeb_complementacao_uniao_median;fundeb_receita_total_median;indicador_meta_final_2025_median;indicador_pc_aluno_alfabetizado_2024_median;taxa_alfabetizacao_real_pct;taxa_alfabetizacao_predita_prob_pct;taxa_alertas_pct;sg_uf;no_municipio;rotulo_municipio;percentil_risco_relativo;faixa_risco_relativo;meta_2025_pct;alfabetizacao_2024_pct;gap_previsto_meta_pp;situacao_meta
4322509;744;0.6923545817513246;0.6983124307486875;0.6983124307486875;1.0;0.4166666666666667;0;0.0;43;3.0;0.721;0.605;797.86;0.51;12.1;29.18;0.5881670533642691;1.0;0.9593967517401392;59023097.07;0.0;59023097.07;70.45;38.1;58.33333333333333;30.764541824867543;100.0;RS;Vacaria;Vacaria - RS;0.9731404958677686;Alto;70.45;38.1;-39.68545817513246;Risco elevado de não atingir
4304408;518;0.5863863361648883;0.5971020966550586;0.5971020966550586;1.0;0.4575289575289575;0;0.0;43;3.0;0.748;0.667;787.78;0.48;11.86;32.61;0.8806228373702422;1.0;0.6695501730103807;50649426.93;1355760.98;52005187.91;79.06;42.2;54.24710424710425;41.36136638351117;100.0;RS;Canela;Canela - RS;0.78099173553719;Alto;79.06;42.2;-37.698633616488834;Risco elevado de não atingir
4309209;2392;0.6634030439569938;0.6702588967318778;0.6702588967318778;1.0;0.5334448160535117;0;0.0;43;3.0;0.736;0.636;737.29;0.44;10.85;20.57;0.8123784834737524;1.0;0.9559300064808814;222351331.1;0.0;222351331.1;68.91;41.0;46.65551839464883;33.65969560430062;100.0;RS;Gravataí;Gravataí - RS;0.9462809917355371;Alto;68.91;41.0;-35.250304395699374;Risco elevado de não atingir
4307500;162;0.5474478810813785;0.5437975479444664;0.5541721789651638;1.0;0.3765432098765432;0;0.0;43;2.0;0.765;0.677;834.66;0.49;9.93;24.6;1.0;1.0;1.0;11012351.23;160203.88;11172555.11;80.0;39.1;62.34567901234568;45.255211891862146;100.0;RS;Espumoso;Espumoso - RS;0.6942148760330579;Moderado;80.0;39.1;-34.744788108137854;Risco elevado de não atingir
4315602;1432;0.7060803342959047;0.714105215779498;0.714105215779498;1.0;0.6375698324022346;0;0.0;43;3.0;0.744;0.637;859.2;0.51;15.27;26.29;0.7130350194552529;1.0;0.8895914396887159;180535553.05;0.0;180535553.05;62.61;43.2;36.24301675977654;29.391966570409533;100.0;RS;Rio Grande;Rio Grande - RS;0.9834710743801653;Alto;62.61;43.2;-33.21803342959046;Risco elevado de não atingir
4305108;3558;0.586944403173325;0.6048113919022229;0.6048113919022229;1.0;0.4612141652613828;0;0.0;43;3.0;0.782;0.686;1253.93;0.48;3.85;18.25;0.9766081871345028;1.0;0.9766081871345028;313432313.26;9377436.66;322809749.92;72.56;43.2;53.87858347386172;41.3055596826675;100.0;RS;Caxias do Sul;Caxias do Sul - RS;0.7830578512396694;Alto;72.56;43.2;-31.254440317332502;Risco elevado de não atingir
4319505;210;0.6520832007024934;0.6620255672308244;0.6620255672308244;1.0;0.4;0;0.0;43;3.0;0.739;0.646;772.04;0.44;12.66;31.45;0.6794425087108014;1.0;0.9616724738675958;22564487.7;0.0;22564487.7;64.97;37.1;60.0;34.791679929750664;100.0;RS;São Sebastião do Caí;São Sebastião do Caí - RS;0.9400826446280992;Alto;64.97;37.1;-30.178320070249335;Risco elevado de não atingir
4304705;500;0.604066697574618;0.5711777729607397;0.6394120563920223;1.0;0.414;0;0.0;43;2.0;0.766;0.707;881.73;0.51;12.74;18.6;0.998422712933754;1.0;0.9779179810725552;47572632.37;0.0;47572632.37;69.06;42.0;58.60000000000001;39.59333024253821;100.0;RS;Carazinho;Carazinho - RS;0.8285123966942148;Alto;69.06;42.0;-29.466669757461794;Risco elevado de não atingir
4301636;174;0.637560675595241;0.637560675595241;0.637560675595241;1.0;0.6724137931034483;0;0.0;43;3.0;0.696;0.567;662.85;0.5;23.48;34.18;0.6893203883495146;1.0;0.6699029126213593;20512584.15;338901.72;20851485.87;65.43;43.6;32.758620689655174;36.2439324404759;100.0;RS;Balneário Pinhal;Balneário Pinhal - RS;0.9070247933884298;Alto;65.43;43.6;-29.186067559524105;Risco elevado de não atingir
4304663;310;0.6979105052387943;0.7022721857165459;0.7022721857165459;1.0;0.6612903225806451;0;0.0;43;3.0;0.637;0.48;493.36;0.43;20.06;40.82;0.5810055865921788;1.0;0.9413407821229052;29793649.41;607025.53;30400674.94;58.86;28.2;33.87096774193549;30.208949476120573;100.0;RS;Capão do Leão;Capão do Leão - RS;0.9793388429752066;Alto;58.86;28.2;-28.651050523879427;Risco elevado de não atingir
3525102;389;0.6151716459347245;0.6151716459347245;0.6151716459347245;1.0;0.5475578406169666;0;0.0;35;3.0;0.735;0.64;742.74;0.48;9.36;24.71;0.820675105485232;1.0;0.8649789029535865;47051029.24;0.0;47051029.24;65.37;45.42;45.24421593830334;38.48283540652755;100.0;SP;Jardinópolis;Jardinópolis - SP;0.8450413223140496;Alto;65.37;45.42;-26.887164593472455;Risco elevado de não atingir
2111201;1961;0.5810319152984883;0.5810319152984883;0.5810319152984883;1.0;0.35696073431922487;0;0.0;21;3.0;0.708;0.7;435.4;0.51;30.54;19.4;0.3457743457743458;1.0;0.3341913341913342;159949978.27;268064183.99;428014162.26;68.0;56.58;64.30392656807751;41.89680847015117;100.0;MA;São José de Ribamar;São José de Ribamar - MA;0.7789256198347108;Alto;68.0;56.58;-26.10319152984883;Risco elevado de não atingir
4322806;176;0.47380351405526966;0.47380351405526966;0.47380351405526966;0.0;0.39204545454545453;69;0.39204545454545453;43;3.0;0.773;0.692;1141.67;0.47;5.54;20.52;1.0;1.0;1.0;23150711.89;266505.59;23417217.48;77.99;57.0;60.79545454545454;52.619648594473034;0.0;RS;Veranópolis;Veranópolis - RS;0.5020661157024794;Moderado;77.99;57.0;-25.37035140552696;Risco elevado de não atingir
4315503;144;0.6853710553006659;0.6971310765878995;0.6971310765878995;1.0;0.2708333333333333;0;0.0;43;3.0;0.683;0.542;660.14;0.52;17.33;34.03;1.0;1.0;0.6167664670658682;11473790.22;0.0;11473790.22;56.63;33.0;72.91666666666667;31.46289446993341;100.0;RS;Restinga Sêca;Restinga Sêca - RS;0.96900826446281;Alto;56.63;33.0;-25.167105530066593;Risco elevado de não atingir
