co_municipio;quantidade_alunos;probabilidade_risco_media;probabilidade_risco_mediana;probabilidade_risco_p90;taxa_alertas;taxa_nao_alfabetizado_real;falsos_negativos;taxa_falsos_negativos;co_uf;dependencia_predominante;atlas_idhm_median;atlas_idhm_e_median;atlas_renda_pc_median;atlas_indice_gini_median;atlas_prop_pobreza_criancas_median;atlas_taxa_criancas_dom_sem_fund_median;censo_prop_mat_2ano_internet_aprendizagem_median;censo_prop_mat_2ano_alimentacao_median;censo_prop_mat_2ano_biblioteca_sala_leitura_median;fundeb_receita_contribuicao_median;fundeb_complementacao_uniao_median;fundeb_receita_total_median;indicador_meta_final_2025_median;indicador_pc_aluno_alfabetizado_2024_median;taxa_alfabetizacao_real_pct;taxa_alfabetizacao_predita_prob_pct;taxa_alertas_pct;sg_uf;no_municipio;rotulo_municipio
1100189;532;0.25905709647432995;0.25905709647432995;0.25905709647432995;0.0;0.17669172932330826;94;0.17669172932330826;11;3.0;0.71;0.613;734.76;0.54;16.46;29.97;0.9275929549902152;1.0;0.62426614481409;37114049.21;0.0;37114049.21;72.95;81.06;82.33082706766918;74.094290352567;0.0;RO;Pimenta Bueno;Pimenta Bueno - RO
1100254;212;0.3082715946780842;0.31097739299210136;0.31097739299210136;0.0;0.1792452830188679;38;0.1792452830188679;11;3.0;0.664;0.55;520.2;0.53;29.23;40.56;0.9055793991416308;1.0;0.96137339055794;13279811.14;0.0;13279811.14;68.1;71.14;82.0754716981132;69.17284053219159;0.0;RO;Presidente Médici;Presidente Médici - RO
1100338;423;0.5126789915782574;0.5126789915782574;0.5126789915782574;1.0;0.2624113475177305;0;0.0;11;3.0;0.587;0.424;377.34;0.52;37.26;50.09;0.7221135029354208;1.0;0.6457925636007827;28815968.1;0.0;28815968.1;68.5;45.3;73.75886524822694;48.73210084217426;100.0;RO;Nova Mamoré;Nova Mamoré - RO
1100403;173;0.36448931397046713;0.36448931397046713;0.36448931397046713;0.0;0.23699421965317918;41;0.23699421965317918;11;3.0;0.625;0.457;498.49;0.54;26.31;50.2;1.0;1.0;0.1034482758620689;13747593.5;259647.41;14007240.91;67.51;60.45;76.30057803468209;63.551068602953286;0.0;RO;Alto Paraíso;Alto Paraíso - RO
1100601;69;0.2879341443168575;0.2879341443168575;0.2879341443168575;0.0;0.10144927536231885;7;0.10144927536231885;11;3.0;0.646;0.506;499.93;0.56;34.14;52.47;0.9367088607594936;1.0;0.240506329113924;4732531.5;81026.64;4813558.14;62.92;78.84;89.85507246376811;71.20658556831425;0.0;RO;Cacaulândia;Cacaulândia - RO
1101203;81;0.28311799562753803;0.28311799562753803;0.28311799562753803;0.0;0.16049382716049382;13;0.16049382716049382;11;3.0;0.638;0.518;448.38;0.54;34.23;38.15;0.1428571428571428;1.0;1.0;8365490.21;148529.57;8514019.78;74.81;69.17;83.9506172839506;71.6882004372462;0.0;RO;Ministro Andreazza;Ministro Andreazza - RO
1101484;79;0.28841100545000475;0.28841100545000475;0.28841100545000475;0.0;0.16455696202531644;13;0.16455696202531644;11;3.0;0.649;0.571;368.24;0.47;32.67;40.7;0.2419354838709677;1.0;1.0;4494408.95;0.0;4494408.95;62.05;78.36;83.54430379746836;71.15889945499953;0.0;RO;São Felipe D'Oeste;São Felipe D'Oeste - RO
1101807;91;0.48883399419456897;0.48883399419456897;0.48883399419456897;0.0;0.2087912087912088;19;0.2087912087912088;11;3.0;0.627;0.485;432.03;0.59;37.45;43.09;1.0;1.0;0.8024691358024691;7627916.26;116974.26;7744890.52;63.63;44.06;79.12087912087912;51.11660058054311;0.0;RO;Vale do Paraíso;Vale do Paraíso - RO
1200351;157;0.37850831789015704;0.37850831789015704;0.37850831789015704;0.0;0.2356687898089172;37;0.2356687898089172;12;3.0;0.501;0.361;157.27;0.59;70.49;64.06;0.0362694300518134;1.0;0.0;43809998.78;6111252.63;49921251.41;66.11;62.82;76.43312101910828;62.14916821098429;0.0;AC;Marechal Thaumaturgo;Marechal Thaumaturgo - AC
1300060;116;0.41944320221951015;0.41944320221951015;0.41944320221951015;0.0;0.2413793103448276;28;0.2413793103448276;13;3.0;0.56;0.455;178.69;0.64;70.93;54.52;0.5083612040133779;1.0;0.3645484949832775;15772816.86;13697178.19;29469995.05;68.27;64.58;75.86206896551724;58.05567977804898;0.0;AM;Amaturá;Amaturá - AM
1300201;232;0.3153619673512753;0.3164756483813649;0.3164756483813649;0.0;0.3275862068965517;76;0.3275862068965517;13;3.0;0.45;0.259;159.21;0.65;72.37;67.89;0.3843843843843844;1.0;0.036036036036036;22327286.42;30077059.93;52404346.35;62.63;84.07000000000001;67.24137931034483;68.46380326487247;0.0;AM;Atalaia do Norte;Atalaia do Norte - AM
1300300;661;0.617692403074201;0.6356955662485244;0.6356955662485244;1.0;0.5824508320726173;0;0.0;13;3.0;0.577;0.446;228.43;0.59;61.72;43.9;0.4325842696629213;1.0;0.3370786516853932;39502365.74;34916808.61;74419174.35;;;41.75491679273827;38.230759692579895;100.0;AM;Autazes;Autazes - AM
1300631;328;0.580148974339908;0.5955703759264348;0.5955703759264348;1.0;0.1951219512195122;0;0.0;13;3.0;0.506;0.346;193.4;0.65;72.5;61.46;0.5359019264448336;1.0;0.3607705779334501;27822031.84;23335940.83;51157972.67;;;80.48780487804879;41.9851025660092;100.0;AM;Beruri;Beruri - AM
1301001;406;0.5134781434730388;0.5291144346702892;0.5291144346702892;0.6231527093596059;0.39655172413793105;39;0.0960591133004926;13;3.0;0.549;0.416;222.32;0.54;57.02;53.89;0.5665529010238908;1.0;0.4249146757679181;25242550.12;23161068.88;48403619.0;57.96;49.19;60.3448275862069;48.652185652696126;62.315270935960584;AM;Carauari;Carauari - AM
1301209;992;0.6421056014869656;0.668470047183652;0.668470047183652;1.0;0.530241935483871;0;0.0;13;3.0;0.586;0.425;347.2;0.64;46.63;46.39;0.5531914893617021;1.0;0.7175348495964784;54727317.59;30640569.09;85367886.68;51.74;32.72;46.9758064516129;35.78943985130344;100.0;AM;Coari;Coari - AM
1301407;482;0.5793969110219637;0.5510544167435047;0.6218372262886716;1.0;0.5311203319502075;0;0.0;13;2.0;0.563;0.431;241.86;0.62;67.85;57.9;0.2402234636871508;1.0;0.5349162011173184;31170175.2;24693665.98;55863841.18;;;46.88796680497925;42.06030889780364;100.0;AM;Eirunepé;Eirunepé - AM
1301506;227;0.6502730135688477;0.6215107789458106;0.6825297252956182;1.0;0.21585903083700442;0;0.0;13;2.0;0.509;0.349;204.98;0.64;68.11;62.23;0.0;1.0;0.1046831955922865;18061978.23;18759584.14;36821562.37;27.7;19.3;78.41409691629956;34.97269864311523;100.0;AM;Envira;Envira - AM
1302504;1362;0.6501636833561216;0.6617080882660676;0.6617080882660676;1.0;0.4588839941262849;0;0.0;13;3.0;0.614;0.481;342.58;0.56;47.3;39.86;0.6081081081081081;1.0;0.4048648648648648;88708811.13;76852602.3;165561413.43;55.57;37.28;54.11160058737151;34.983631664387836;100.0;AM;Manacapuru;Manacapuru - AM
1303502;226;0.5419562230908919;0.5419562230908919;0.5419562230908919;1.0;0.5132743362831859;0;0.0;13;3.0;0.496;0.317;218.21;0.72;73.81;62.31;0.116580310880829;1.0;0.2901554404145077;17723420.52;14808181.57;32531602.09;51.88;48.43;48.67256637168141;45.80437769091081;100.0;AM;Pauini;Pauini - AM
1303569;372;0.5675896659079775;0.5675896659079775;0.5675896659079775;1.0;0.5080645161290323;0;0.0;13;3.0;0.611;0.493;315.24;0.55;44.45;36.4;0.3903966597077244;1.0;0.3924843423799583;30183145.48;25256114.43;55439259.91;49.09;46.76;49.193548387096776;43.241033409202245;100.0;AM;Rio Preto da Eva;Rio Preto da Eva - AM
1304237;331;0.6471977592103977;0.6471977592103977;0.6471977592103977;1.0;0.4471299093655589;0;0.0;13;3.0;0.548;0.416;189.15;0.54;57.55;45.55;0.3580246913580246;1.0;0.1111111111111111;26023657.12;26113161.23;52136818.35;56.94;30.02;55.2870090634441;35.28022407896023;100.0;AM;Tonantins;Tonantins - AM
1400159;320;0.6515514439668042;0.6603877834026665;0.6603877834026665;1.0;0.659375;0;0.0;14;3.0;0.626;0.509;329.22;0.72;66.34;47.1;0.0389344262295082;1.0;0.2807377049180328;34757040.44;531662.66;35288703.1;;;34.06249999999999;34.84485560331958;100.0;RR;Bonfim;Bonfim - RR
